author_name,city_birth,city_residence,country,year_birth,year_death,work1,work2
Alexander Solzhenitsyn,"Kislovodsk, Russia","Moscow, Russia",Russia,1918,2008,One Day in the Life of Ivan Denisovich,The Gulag Archipelago
Fyodor Dostoevsky,"Moscow, Russia","St. Petersburg, Russia",Russia,1821,1881,Crime and Punishment,The Brothers Karamazov
Leo Tolstoy,"Yasnaya Polyana, Russia","Yasnaya Polyana, Russia",Russia,1828,1910,War and Peace,Anna Karenina
Mikhail Bulgakov,"Kiev, Ukraine","Moscow, Russia",Russia,1891,1940,The Master and Margarita,Heart of a Dog
Anton Chekhov,"Taganrog, Russia","Moscow, Russia",Russia,1860,1904,The Cherry Orchard,The Seagull
Nikolai Gogol,"Sorochyntsi, Ukraine","Moscow, Russia",Russia,1809,1852,Dead Souls,The Overcoat
Ivan Turgenev,"Oryol, Russia","Bougival, France",Russia,1818,1883,Fathers and Sons,A Month in the Country
Alexander Pushkin,"Moscow, Russia","St. Petersburg, Russia",Russia,1799,1837,Eugene Onegin,The Queen of Spades
Ivan Bunin,"Voronezh, Russia","Paris, France",Russia,1870,1953,The Gentleman from San Francisco,Dark Avenues
Vladimir Nabokov,"Saint Petersburg, Russia","Montreux, Switzerland",Russia,1899,1977,Lolita,Pale Fire
Boris Pasternak,"Moscow, Russia","Peredelkino, Russia",Russia,1890,1960,Doctor Zhivago,Safe Conduct
Mikhail Sholokhov,"Veshenskaya, Russia","Veshenskaya, Russia",Russia,1905,1984,And Quiet Flows the Don,The Don Flows Home to the Sea
Joseph Brodsky,"Leningrad (now Saint Petersburg), Russia","New York City, USA",Russia,1940,1996,A Part of Speech,Less Than One
Henri Bergson,"Paris, France","Paris, France",France,1859,1941,Time and Free Will,Matter and Memory
Andre Gide,"Paris, France","Paris, France",France,1869,1951,The Counterfeiters,The Immoralist
Francois Mauriac,"Bordeaux, France","Paris, France",France,1885,1970,Thérèse Desqueyroux,Vipers' Tangle
Albert Camus,"Mondovi (now Dréan), Algeria","Paris, France",France,1913,1960,The Stranger,The Plague
Jean Paul Sartre,"Paris, France","Paris, France",France,1905,1980,Nausea,Being and Nothingness
Claude Simon,"Antananarivo, Madagascar","Paris, France",France,1913,2005,The Flanders Road,The Grass
J.M.G. Le Clézio,"Nice, France",Mauritius,France,1940,,The Interrogation,Desert
Patrick Modiano,"Boulogne-Billancourt, France","Paris, France",France,1945,,Missing Person,Dora Bruder
Michel Houellebecq,"Saint-Pierre, Réunion",France,France,1956,,Platform,The Elementary Particles
Annie Ernaux,"Lillebonne, France","Cergy, France",France,1940,,A Man's Place,A Woman's Story
Victor Hugo,"Besançon, France","Paris, France",France,1802,1885,Les Misérables,The Hunchback of Notre-Dame
Marcel Proust,"Auteuil, France","Paris, France",France,1871,1922,In Search of Lost Time,Swann's Way
Honoré de Balzac,"Tours, France","Paris, France",France,1799,1850,La Comédie Humaine,Père Goriot
Simone de Beauvoir,"Paris, France","Paris, France",France,1908,1986,The Second Sex,The Mandarins
Georges Perec,"Paris, France","Paris, France",France,1936,1982,Life: A User's Manual,A Void
Emile Zola,"Paris, France","Paris, France",France,1840,1902,Germinal,Nana
Gustave Flaubert,"Rouen, France","Croisset, France",France,1821,1880,Madame Bovary,Sentimental Education
Romain Gary,"Vilnius, Lithuania","Paris, France",France,1914,1980,The Roots of Heaven,The Kites
Marguerite Duras,"Gia Dinh (now Ho Chi Minh City), Vietnam","Paris, France",France,1914,1996,The Lover,The Ravishing of Lol Stein
Thomas Mann,"Lübeck, Germany","Kilchberg, Switzerland",Germany,1875,1955,The Magic Mountain,Buddenbrooks
Hermann Hesse,"Calw, Germany","Montagnola, Switzerland",Germany,1877,1962,Siddhartha,Steppenwolf
Heinrich Böll,"Cologne, Germany","Cologne, Germany",Germany,1917,1985,The Clown,Billiards at Half-Past Nine
Hans Fallada,"Greifswald, Germany","Berlin, Germany",Germany,1893,1947,"Little Man, What Now?",Alone in Berlin
Günter Grass,"Danzig (now Gdańsk), Poland","Lübeck, Germany",Germany,1927,2015,The Tin Drum,Cat and Mouse
Herta Müller,"Nitzkydorf, Romania","Berlin, Germany",Germany,1953,,The Land of Green Plums,The Appointment
Rainer Maria Rilke,"Prague, Austria-Hungary (now Czech Republic)","Val-Mont, Switzerland",Germany,1875,1926,Letters to a Young Poet,Duino Elegies
