id,author_name,city_birth,city_birth_coord,city_residence,country,year_birth,work_1,,,,,,
1,Atiq Rahimi ,"Kabul, Afghanistan","69.2075, 34.5553","Paris, France",Afghanistan,1962,The Patience Stone,,,,,,
2,Khalid Hosseini,"Kabul, Afghanistan",,"San Jose, USA",Afghanistan,1965,The Kite Runner,,,,,,
3,Jamil Jan Kochai,"Peshawar, Pakistan","71.5249, 34.0151","Oakland, USA",Afghanistan,1992,99 Nights in Logar,,,,,,
4,Taslima Nasreen,"Mymensingh, Bangladesh","90.4203, 24.7471","New Delhi, India",Bangladesh,1962,Lajja,,,,,,
5,Tahmima Anam,"Dhaka, Bangladesh","90.4125, 23.8103","London, UK",Bangladesh,1975,A Golden Age,,,,,,
6,Gao Xingjian,"Ganzhou, Jiangxi, China","114.9333, 25.8300","Paris, France",China,1940,Soul Mountain,,,,,,
7,Can Xue,"Changsha, Hunan, China","112.9388, 28.2282","Beijing, China",China,1953,Vertical Motion,,,,,,
8,Ma Jian,"Qingdao, Shandong, China","120.3826, 36.0671","London, UK",China,1953,Beijing Coma,,,,,,
9,Mo Yan,"Gaomi, Shandong, China","119.7528, 36.3833","Beijing, China",China,1955,Red Sorghum,,,,,,
10,Yan Lianke,"Henan, China","113.3824, 34.2904","Beijing, China",China,1958,The Day the Sun Died,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
